Word	Type	Frequency
買回來	X-VC	1
要不要	F-D	3
放	X-VC	29
後面	X-Ncd	1
某	X-Nes	18
先	F-D	27
好了	F-T	5
架上	X-VC	1
言詞	C-Na	2
幫忙	X-VC	71
個頭	C-Na	1
沒辦法	X-VI	43
撐	X-VC	2
不要	F-D	14
小偷	C-Na	1
所有	X-Neqa	88
展品	C-Na	2
有意	X-VL	1
人家	X-Nh	4
走	C-VA	7
三	X-Neu	46
告知	X-VE	20
一半	X-Neqa	5
救	X-VC	2
婉拒	X-VC	4
應	F-D	9
四四四三二一八九	X-Neu	1
指	X-VC	1
緊	C-VH	4
趕緊	F-D	2
班	C-Na	4
待	X-VC	48
吼說	X-VE	1
外出	C-VA	3
一致	C-VH	1
跟著	F-P	1
提	X-VE	8
幫助	X-VC	144
說詞	C-Na	3
將	F-P	39
不能	F-D	19
參加	X-VC	6
當作	X-VG	7
強壯	C-VH	1
午	X-Nd	1
者	C-Na	6
擔心	X-VK	118
似乎	F-D	3
当时	X-FW	3
莺歌	C-Na	2
博物馆	C-Na	3
当	X-FW	4
伞还	C-VA	1
时候	C-Na	3
陈	X-FW	1
那里	X-Ncd	2
当时对着	C-Na	1
说	X-FW	3
伞	C-Na	6
于	C-Nb	4
解释	C-VA	1
错	C-Na	1
并没	C-VA	3
试图给	X-FW	2
并	C-Na	1
学	C-Na	4
个	X-FW	3
展览	C-Na	1
之	X-DE	7
后	C-Na	3
学说	C-Na	1
饿	X-FW	1
东	X-FW	2
西	X-Ncd	5
们	C-Na	1
晚饭	C-Na	1
离开	X-FW	2
博物	C-Na	1
馆	X-FW	1
带伞	X-FW	1
因	F-Cbb	12
为	X-FW	3
亚当	C-Na	2
雨伞	C-VH	5
从	X-FW	1
给	X-FW	1
学买	C-Na	1
面包	C-Na	1
回来	C-VA	1
发现陈	X-FW	1
对	X-FW	1
当时觉	X-FW	1
自己	X-Nh	136
记	X-FW	1
颜色	C-Na	1
蓝色	C-Na	2
后并	C-Na	1
崭	X-FW	1
印象当	C-Na	1
个伞	C-Na	1
一个	C-Nb	1
两个同学	C-Na	1
借给	C-VD	1
淋湿	C-VA	1
没	X-FW	1
当时两个	X-FW	1
应该	C-Na	1
这样	X-FW	1
试图	C-Na	1
伞归还给陈	X-FW	1
也许	C-Nb	1
证实	X-FW	1
護照	C-Na	24
號碼	C-Na	52
住	X-VCL	83
桃園市	C-Nc	15
中山路	C-Nc	17
桃園	C-Nc	21
國際	C-Nc	14
機場	C-Nc	46
接	X-VC	24
拜訪	X-VC	6
台灣	C-Nc	322
搭	X-VC	30
公車	C-Na	18
早	F-D	18
等	X-VC	52
無聊	C-VH	13
到處	F-D	20
晃晃	C-VA	6
消磨	X-VC	1
停車場	C-Nc	28
機車	C-Na	71
貓	C-Na	5
台	X-Nf	22
顆顆	X-Neqa	1
清楚	X-VK	6
頂	X-Nf	56
四下	F-D	6
無	X-VJ	6
帽子	C-Na	87
痾	X-VC	5
抱歉	X-VK	55
所作所為	C-Na	2
擁有	X-VJ	16
謝謝	X-VJ	37
遊歷	X-VCL	1
遲	C-VH	2
結果	F-Dk	4
只好	F-D	6
殺殺	X-VC	3
摩托車	C-Na	128
喔	F-T	10
抱欠	X-VJ	1
當事人	C-Na	5
玩	X-VC	9
班機	C-Na	26
延誤	C-VHC	13
閒晃	C-VA	4
消耗	X-VC	1
四周	X-Ncd	1
拿起	X-VC	2
帶來	X-VC	55
懂	X-VK	9
中正機場	C-Nc	12
坐	C-VA	3
巴士	C-Na	7
太早	F-D	8
殺	X-VC	12
輛	X-Nf	8
後悔	X-VL	2
做	X-VC	150
失主	C-Na	2
過	F-Di	107
原主	C-Na	2
走走殺	X-VCL	1
周圍	C-Nc	3
主人	C-Na	18
接機	C-VA	6
旅遊	C-VA	4
恩	C-Na	35
車	C-Na	12
提早到	X-VL	4
等待	X-VK	5
延遲	C-VHC	8
安全帽	C-Na	8
受害	C-VH	4
居住	C-VA	8
第一	X-Neu	48
第52	X	2
號	X-Nf	10
走走來	C-VA	1
12號	X	2
提前	X-VB	1
航班	C-Na	34
走殺	C-VA	1
如此	C-VH	7
接來	X-VC	3
客運	C-Na	2
打發	X-VC	3
繞繞	C-VA	2
遺落	C-VH	3
座椅	C-Na	3
物主	C-Na	2
提早	X-VL	7
身分證	C-Na	1
字號	C-Na	1
住在	X-VCL	28
飛機	C-Na	27
亂晃	C-VH	1
停	C-VHC	36
對不起	X-VJ	2
聽錯	X-VJ	1
呃	F-D	18
呀	F-T	7
到達	X-VCL	6
留在	X-VCL	3
摩拖車	C-Na	2
鴨舌帽	C-Na	4
棒球帽	C-Na	4
掉落	X-VCL	1
式	C-Na	5
帶走	X-VC	1
觀光	C-VA	5
停機車	C-VA	2
拿起來	X-VB	1
那樣	C-VH	11
回應	X-VC	3
布斯葛	C-Nb	1
須	F-D	1
目前	X-Nd	46
中山區	C-Nc	2
一號	C-Nc	2
半	X-Neqa	2
過去	X-Nd	4
停車廠	C-Nc	1
上面	X-Ncd	15
環	X-VC	1
原諒	X-VJ	25
過來	C-VA	4
感謝	X-VK	1
國元	C-Nc	1
中正	C-Nb	2
參訪	X-VC	2
惡	X-VK	1
處	C-Nc	7
對方	X-Nh	20
對話	C-Na	4
探望	X-VC	1
抵達	X-VCL	9
晃	X-VC	1
以	F-P	37
布魯斯	C-Nb	1
高伸	C-VH	1
不好意思	C-VH	1
談	X-VE	3
第二區	C-Nc	1
152號	X	1
我等	X-Nh	1
各	X-Nes	1
游走	C-VA	1
臺	X-Nf	1
歸還給	C-VD	1
外國	C-Nc	15
答	X-VE	3
走走晃晃	C-VA	1
哎	X-I	1
唷	X-I	1
此	F-Nep	13
表示	X-VE	6
歉意	C-Na	2
肯	X-VL	7
布史	C-Na	1
旮	X-FW	1
生	X-VC	1
1巷	X	1
隨意	C-VH	1
晃走	C-VA	1
深感	X-VK	2
逛逛	X-VCL	1
遺留	C-VD	2
繞	C-VA	2
不過	F-Cbb	10
隊	C-Na	1
溝	C-Na	2
貝立強森	C-Nb	1
士林區	C-Nc	26
新德東路	C-Nc	1
428號	X	2
3巷	X	1
24樓	X	17
律師	C-Na	28
法院	C-Nc	49
判	X-VF	4
撫養權	C-Na	33
原因	C-Na	68
妻子	C-Na	47
同住	X-VCL	6
女兒	C-Na	188
長大	C-VH	21
再者	F-Cbb	3
聽說	X-VE	19
太太	C-Na	190
男人	C-Na	22
同居	C-VA	10
疑惑	C-VH	2
是否	F-D	28
完整	C-VH	1
照顧	X-VC	33
獲得	X-VJ	12
這些	X-Neqa	165
主要	X-A	53
顧慮	C-Na	5
全職	C-VH	23
工作	C-Na	421
兼職	X-Nv	63
許多	X-Neqa	13
固定	C-VH	33
收入	C-Na	82
足以	X-VL	7
支撐	X-VC	7
生活	C-VA	13
至少	X-Da	41
平均	C-VH	25
月	C-Na	60
賺	X-VC	44
一萬五千	X-Neu	2
元	X-Nf	33
有時候	F-D	29
接到	X-VC	7
計畫	C-Na	23
機會	C-Na	9
更多	C-VH	21
五	X-Neu	41
年	X-Nf	65
居留證	C-Na	30
喜歡	X-VK	42
滿意	X-VK	26
特別	C-VH	13
父母	C-Na	17
打	X-VC	49
離婚	C-VA	55
官司	C-Na	36
彼此	X-Nh	21
切斷	X-VC	21
聯繫	X-VC	20
進行	X-VC	11
定期	F-D	6
繼	F-P	1
照面	C-VA	1
安排	X-VE	21
有時	F-D	8
兼聚	C-VA	1
聚	C-VA	1
加拿大	C-Nc	29
母親	C-Na	23
年紀	C-Na	13
生病	C-VH	20
即使	F-Cbb	30
不會	F-D	135
長久	C-VH	2
待在	X-VCL	25
考慮	X-VE	27
個人	X-Nh	28
共同	X-A	3
八	X-Neu	32
之間	X-Ng	113
流轉	C-VA	1
對於	F-P	69
孩子	C-Na	35
